id, title,              artist,           genre,            mood,     energy, tempo_bpm, valence, danceability, acousticness, loudness, instrumentalness, speechiness
1,  Sunrise City,        Neon Echo,        pop,              happy,    0.82,   118,       0.84,    0.79,         0.18,         0.75,     0.01,             0.05
2,  Midnight Coding,     LoRoom,           lofi,             chill,    0.42,   78,        0.56,    0.62,         0.71,         0.40,     0.72,             0.03
3,  Storm Runner,        Voltline,         rock,             intense,  0.91,   152,       0.48,    0.66,         0.10,         0.88,     0.02,             0.06
4,  Library Rain,        Paper Lanterns,   lofi,             chill,    0.35,   72,        0.60,    0.58,         0.86,         0.32,     0.85,             0.02
5,  Gym Hero,            Max Pulse,        pop,              intense,  0.93,   132,       0.77,    0.88,         0.05,         0.92,     0.00,             0.07
6,  Spacewalk Thoughts,  Orbit Bloom,      ambient,          chill,    0.28,   60,        0.65,    0.41,         0.92,         0.22,     0.94,             0.02
7,  Coffee Shop Stories, Slow Stereo,      jazz,             relaxed,  0.37,   90,        0.71,    0.54,         0.89,         0.38,     0.61,             0.04
8,  Rooftop Lights,      Indigo Parade,    indie pop,        happy,    0.76,   124,       0.81,    0.82,         0.35,         0.71,     0.03,             0.05
9,  Harley Quinn,        Fuerza Regida,    regional mexican, intense,  0.90,   132,       0.55,    0.83,         0.07,         0.85,     0.00,             0.08
10, Plastico,            Willie Colon,     salsa,            happy,    0.87,   144,       0.89,    0.91,         0.08,         0.83,     0.01,             0.06
11, Carino,              The Marias,       dream pop,        moody,    0.44,   82,        0.52,    0.58,         0.61,         0.42,     0.08,             0.04
12, Gold,                Malcolm Todd,     folk,             relaxed,  0.31,   72,        0.69,    0.43,         0.93,         0.30,     0.12,             0.03
13, Blinding Lights,     The Weeknd,       synthwave,        intense,  0.80,   171,       0.65,    0.83,         0.07,         0.80,     0.00,             0.06
14, Kill Bill,           SZA,              r&b,              moody,    0.51,   89,        0.46,    0.73,         0.28,         0.52,     0.00,             0.09
15, Sabor a Mi,          Los Panchos,      bolero,           relaxed,  0.24,   68,        0.70,    0.42,         0.95,         0.25,     0.18,             0.03
16, Skyfall,             Adele,            pop,              moody,    0.40,   76,        0.20,    0.48,         0.82,         0.45,     0.00,             0.03
17, Me Porto Bonito,     Bad Bunny,        reggaeton,        happy,    0.91,   107,       0.76,    0.91,         0.04,         0.87,     0.00,             0.11
18, Walking on a Dream,  Empire of the Sun,synthwave,        happy,    0.78,   128,       0.82,    0.77,         0.15,         0.74,     0.01,             0.05
19, La Bikina,           Luis Miguel,      latin pop,        happy,    0.72,   130,       0.85,    0.80,         0.22,         0.70,     0.00,             0.05
20, Talking to the Moon, Bruno Mars,       pop,              moody,    0.38,   76,        0.18,    0.45,         0.88,         0.38,     0.00,             0.04
